,Losses
627,0.11435228586196901
628,0.070778988301754
629,0.05436588451266289
630,0.07976824790239334
631,0.10014184564352037
632,0.05136879906058312
633,0.07311620563268661
634,0.10486863553524016
635,0.03491867333650589
636,0.05202874913811684
637,0.05045507103204727
638,0.0674094706773758
639,0.05542755499482155
640,0.08176684379577638
641,0.05012136325240135
642,0.06669359654188156
643,0.036615677177906036
644,0.016294468194246292
645,0.0985199585556984
646,0.08210780471563339
647,0.09367365390062332
648,0.0735529288649559
649,0.07896839827299118
650,0.1056513637304306
651,0.09144418686628343
652,0.1654721051454544
653,0.0894269123673439
654,0.06422167271375656
655,0.06487610191106796
656,0.11553200334310533
657,0.09572624415159224
658,0.08055741339921951
659,0.07076532393693924
660,0.0934661626815796
661,0.0907163992524147
662,0.033421825617551804
663,0.1091156080365181
664,0.0930497795343399
665,0.07315091043710709
666,0.08033754676580429
667,0.0602470375597477
668,0.1262291669845581
669,0.02469015307724476
670,0.06042896211147308
671,0.0424932986497879
672,0.08980847895145416
673,0.06935860961675644
674,0.07994405925273895
675,0.04822339117527008
676,0.06600331515073776
677,0.12558655440807345
678,0.1415208876132965
679,0.15168051421642306
680,0.027300048619508743
681,0.0666671022772789
682,0.09315799921751022
683,0.13365121185779572
684,0.0800165981054306
685,0.00909931119531393
686,0.07131975144147873
687,0.08865775913000107
688,0.07021817564964294
689,0.08087695389986037
690,0.050618015229702
691,0.0476163886487484
692,0.03135063126683235
693,0.024033650755882263
694,0.03341570869088173
695,0.017026716843247414
696,0.07905318588018417
697,0.08822359889745712
698,0.06431610882282257
699,0.0916987881064415
